Date-time,Close
2002-02-07 07:00:00,19.68
2002-02-08 07:00:00,20.25
2002-02-11 07:00:00,21.32
2002-02-12 07:00:00,20.75
2002-02-13 07:00:00,21.15
2002-02-14 07:00:00,21.219
2002-02-15 07:00:00,21.5
2002-02-19 07:00:00,20.87
2002-02-20 07:00:00,20.23
2002-02-21 07:00:00,21.049
2002-02-22 07:00:00,21.08
2002-02-25 07:00:00,20.42
2002-02-26 07:00:00,21.36
2002-02-27 07:00:00,21.29
2002-02-28 07:00:00,21.85
2002-03-01 07:00:00,22.36
2002-03-04 07:00:00,22.5
2002-03-05 07:00:00,23.17
2002-03-06 07:00:00,23.219
2002-03-07 07:00:00,23.78
2002-03-08 07:00:00,23.85
2002-03-11 07:00:00,24.299
2002-03-12 07:00:00,24.15
2002-03-13 07:00:00,24.15
2002-03-14 07:00:00,24.549
2002-03-15 07:00:00,24.48
2002-03-18 07:00:00,25.049
2002-03-19 07:00:00,25.049
2002-03-20 07:00:00,24.7
2002-03-21 07:00:00,25.6
2002-03-22 07:00:00,25.26
2002-03-25 07:00:00,25.02
2002-03-26 07:00:00,25.43
2002-03-27 07:00:00,25.87
2002-03-28 07:00:00,26.23
2002-04-01 07:00:00,26.86
2002-04-02 07:00:00,27.7
2002-04-03 07:00:00,27.559
2002-04-04 07:00:00,26.68
2002-04-05 07:00:00,26.219
2002-04-08 07:00:00,26.549
2002-04-09 07:00:00,25.799
2002-04-10 07:00:00,26.12
2002-04-11 07:00:00,25.02
2002-04-12 07:00:00,23.45
2002-04-15 07:00:00,24.549
2002-04-16 07:00:00,24.85
2002-04-17 07:00:00,25.92
2002-04-18 07:00:00,26.09
2002-04-19 07:00:00,26.4
2002-04-22 07:00:00,26.299
2002-04-23 07:00:00,26.59
2002-04-24 07:00:00,26.43
2002-04-25 07:00:00,26.67
2002-04-26 07:00:00,27.15
2002-04-29 07:00:00,27.52
2002-04-30 07:00:00,27.29
2002-05-01 07:00:00,26.74
2002-05-02 07:00:00,26.35
2002-05-03 07:00:00,26.719
2002-05-06 07:00:00,26.08
2002-05-07 07:00:00,26.62
2002-05-08 07:00:00,27.73
2002-05-09 07:00:00,27.7
2002-05-10 07:00:00,27.879
2002-05-13 07:00:00,28.45
2002-05-14 07:00:00,29.299
2002-05-15 07:00:00,28.2
2002-05-16 07:00:00,27.969
2002-05-17 07:00:00,28.2
2002-05-20 07:00:00,28.2
2002-05-21 07:00:00,27
2002-05-22 07:00:00,26.45
2002-05-23 07:00:00,26.15
2002-05-24 07:00:00,25.879
2002-05-28 07:00:00,25.18
2002-05-29 07:00:00,25.719
2002-05-30 07:00:00,24.7
2002-05-31 07:00:00,25.35
2002-06-03 07:00:00,25.11
